unit_id,WaterClarityScore,ResidualChlorine,MetalColorimetry,LineFlushRate,do_CorrosionInhibitor,do_LineFlushRate
0,29.22892875666655,75.27152833759408,-6.63284127007584,17.966605736664818,65.0,20.0
1,35.31431296649756,83.09629060846298,10.112298947700003,26.254978661010654,65.0,20.0
2,18.256127475661827,64.1799789630793,6.612530291112686,22.087939210632825,65.0,20.0
3,41.44297527914222,89.95525717514661,13.674497795815508,20.946118303465212,65.0,20.0
4,40.23282867658232,92.42666180799888,19.909356102381693,20.081481058437433,65.0,20.0
5,40.71640639674727,93.67342936777082,21.560452949714403,20.970254743205814,65.0,20.0
6,30.547045811425573,71.20757808419017,17.416403136307395,22.955985574886096,65.0,20.0
7,27.258176289655157,65.95939723083724,16.450637185257747,22.429078304341264,65.0,20.0
8,34.88739977813152,86.02566514779794,25.00710959818737,20.73580909227526,65.0,20.0
9,29.410837865860273,74.30502800056873,-5.353204143788853,16.298519450099157,65.0,20.0
10,31.937145425172094,74.6225346616269,15.081883418845823,20.846366814508475,65.0,20.0
11,35.678975921938864,80.21790952575404,23.536074911022673,21.062726469254486,65.0,20.0
12,34.84357320668453,70.66267365427247,7.049256991268462,20.198657467165408,65.0,20.0
13,37.841164854962514,83.03833183726158,13.934969596844462,26.143220730648416,65.0,20.0
14,23.78437523496163,72.63373478482293,-10.529850858755132,18.070204805860495,65.0,20.0
15,37.10678957830892,87.09255374326555,28.911386125884523,20.688943439241697,65.0,20.0
16,23.201153319835885,59.79273383599202,-14.361745704131877,18.51308949059658,65.0,20.0
17,30.24430527988632,80.63952188872997,4.105261212502893,20.17457826249022,65.0,20.0
18,31.544922031279512,72.81619800870158,-9.916404478734002,21.04187814393975,65.0,20.0
19,25.33104449972962,73.53675861686706,12.12320370668663,19.875195693687857,65.0,20.0
20,31.92102494711126,84.87380763631876,-7.260106940484597,22.023156796942022,65.0,20.0
21,21.862768143501675,69.09425322973733,3.3447076920898278,23.525465971456885,65.0,20.0
22,44.20241425091106,91.28844302832411,13.66162887826503,21.389263064330688,65.0,20.0
23,27.885265403306754,81.86688453517645,-16.80770148331445,17.297296427161196,65.0,20.0
