global_step,phase,seconds,started_at,finished_at
0,init_weight_sync_state,1.05,2026-09-03 12:43:59.530000,2026-09-03 12:44:00.575
0,load_checkpoints,0.0,2026-09-03 12:44:00.575000,2026-09-03 12:44:00.577
0,sync_weights,2.95,2026-09-03 12:44:00.577000,2026-09-03 12:44:03.530
0,log_eval_results,0.0,2026-09-03 12:53:10.903000,2026-09-03 12:53:10.903
0,dump_eval_results,0.29,2026-09-03 12:53:11.037000,2026-09-03 12:53:11.330
0,eval,547.82,2026-09-03 12:44:03.530000,2026-09-03 12:53:11.349
1,generate,1669.95,2026-09-03 12:53:33.242000,2026-09-03 13:21:23.188
1,postprocess_generator_output,0.2,2026-09-03 13:21:23.546000,2026-09-03 13:21:23.750
1,log_train_results,0.0,2026-09-03 13:21:23.767000,2026-09-03 13:21:23.768
1,convert_to_training_input,66.45,2026-09-03 13:21:23.768000,2026-09-03 13:22:30.216
1,fwd_logprobs_values_reward,343.73,2026-09-03 13:22:30.216000,2026-09-03 13:28:13.950
1,compute_advantages_and_returns,0.05,2026-09-03 13:28:13.950000,2026-09-03 13:28:14.003
1,policy_train,1009.11,2026-09-03 13:28:14.003000,2026-09-03 13:45:03.109
1,train_critic_and_policy,1009.55,2026-09-03 13:28:14.003000,2026-09-03 13:45:03.558
1,sync_weights,9.2,2026-09-03 13:45:03.558000,2026-09-03 13:45:12.755
1,step,3099.51,2026-09-03 12:53:33.241000,2026-09-03 13:45:12.755
2,generate,1854.67,2026-09-03 13:45:12.950000,2026-09-03 14:16:07.619
2,postprocess_generator_output,0.21,2026-09-03 14:16:07.932000,2026-09-03 14:16:08.138
2,log_train_results,0.0,2026-09-03 14:16:08.151000,2026-09-03 14:16:08.151
2,convert_to_training_input,26.66,2026-09-03 14:16:08.151000,2026-09-03 14:16:34.814
2,fwd_logprobs_values_reward,485.36,2026-09-03 14:16:34.814000,2026-09-03 14:24:40.173
2,compute_advantages_and_returns,0.06,2026-09-03 14:24:40.173000,2026-09-03 14:24:40.231
2,policy_train,1074.69,2026-09-03 14:24:40.231000,2026-09-03 14:42:34.918
2,train_critic_and_policy,1075.03,2026-09-03 14:24:40.231000,2026-09-03 14:42:35.264
2,cleanup_old_checkpoints,6.89,2026-09-03 14:43:36.503000,2026-09-03 14:43:43.389
2,save_checkpoints,68.51,2026-09-03 14:42:35.265000,2026-09-03 14:43:43.779
2,sync_weights,3.14,2026-09-03 14:43:43.780000,2026-09-03 14:43:46.915
2,step,3513.97,2026-09-03 13:45:12.948000,2026-09-03 14:43:46.915
2,log_eval_results,0.0,2026-09-03 14:56:51.619000,2026-09-03 14:56:51.619
2,dump_eval_results,0.31,2026-09-03 14:56:51.758000,2026-09-03 14:56:52.066
2,eval,785.17,2026-09-03 14:43:46.920000,2026-09-03 14:56:52.088
3,generate,1796.93,2026-09-03 14:56:52.190000,2026-09-03 15:26:49.124
3,postprocess_generator_output,0.22,2026-09-03 15:26:49.422000,2026-09-03 15:26:49.645
3,log_train_results,0.0,2026-09-03 15:26:49.655000,2026-09-03 15:26:49.655
3,convert_to_training_input,77.09,2026-09-03 15:26:49.655000,2026-09-03 15:28:06.750
3,fwd_logprobs_values_reward,294.81,2026-09-03 15:28:06.750000,2026-09-03 15:33:01.555
3,compute_advantages_and_returns,0.05,2026-09-03 15:33:01.556000,2026-09-03 15:33:01.607
3,policy_train,1324.24,2026-09-03 15:33:01.607000,2026-09-03 15:55:05.842
3,train_critic_and_policy,1324.7,2026-09-03 15:33:01.607000,2026-09-03 15:55:06.307
3,cleanup_old_checkpoints,0.02,2026-09-03 15:55:54.848000,2026-09-03 15:55:54.870
3,save_checkpoints,49.06,2026-09-03 15:55:06.308000,2026-09-03 15:55:55.369
3,sync_weights,2.59,2026-09-03 15:55:55.370000,2026-09-03 15:55:57.960
3,step,3545.77,2026-09-03 14:56:52.188000,2026-09-03 15:55:57.960
4,generate,2447.9,2026-09-03 15:56:22.523000,2026-09-03 16:37:10.424
4,postprocess_generator_output,0.23,2026-09-03 16:37:10.710000,2026-09-03 16:37:10.936
4,log_train_results,0.0,2026-09-03 16:37:10.963000,2026-09-03 16:37:10.963
4,convert_to_training_input,17.55,2026-09-03 16:37:10.964000,2026-09-03 16:37:28.513
4,fwd_logprobs_values_reward,266.86,2026-09-03 16:37:28.513000,2026-09-03 16:41:55.369
4,compute_advantages_and_returns,0.07,2026-09-03 16:41:55.370000,2026-09-03 16:41:55.444
4,policy_train,1689.09,2026-09-03 16:41:55.444000,2026-09-03 17:10:04.531
4,train_critic_and_policy,1689.42,2026-09-03 16:41:55.444000,2026-09-03 17:10:04.869
4,cleanup_old_checkpoints,0.02,2026-09-03 17:11:28.871000,2026-09-03 17:11:28.891
4,save_checkpoints,84.56,2026-09-03 17:10:04.869000,2026-09-03 17:11:29.426
4,sync_weights,4.64,2026-09-03 17:11:29.427000,2026-09-03 17:11:34.062
4,step,4511.54,2026-09-03 15:56:22.518000,2026-09-03 17:11:34.062
4,log_eval_results,0.0,2026-09-03 17:27:32.353000,2026-09-03 17:27:32.353
4,dump_eval_results,0.31,2026-09-03 17:27:32.494000,2026-09-03 17:27:32.800
4,eval,958.75,2026-09-03 17:11:34.067000,2026-09-03 17:27:32.821
5,generate,2841.26,2026-09-03 17:27:32.912000,2026-09-03 18:14:54.173
5,postprocess_generator_output,0.2,2026-09-03 18:14:54.448000,2026-09-03 18:14:54.650
5,log_train_results,0.0,2026-09-03 18:14:54.658000,2026-09-03 18:14:54.658
5,convert_to_training_input,0.31,2026-09-03 18:14:54.658000,2026-09-03 18:14:54.965
5,fwd_logprobs_values_reward,568.58,2026-09-03 18:14:54.965000,2026-09-03 18:24:23.541
5,compute_advantages_and_returns,0.04,2026-09-03 18:24:23.541000,2026-09-03 18:24:23.582
5,policy_train,1735.81,2026-09-03 18:24:23.582000,2026-09-03 18:53:19.392
5,train_critic_and_policy,1736.14,2026-09-03 18:24:23.582000,2026-09-03 18:53:19.723
5,sync_weights,5.58,2026-09-03 18:53:19.723000,2026-09-03 18:53:25.299
5,step,5152.39,2026-09-03 17:27:32.910000,2026-09-03 18:53:25.300
6,generate,2853.68,2026-09-03 18:53:25.388000,2026-09-03 19:40:59.065
6,postprocess_generator_output,0.2,2026-09-03 19:40:59.412000,2026-09-03 19:40:59.616
6,log_train_results,0.0,2026-09-03 19:40:59.626000,2026-09-03 19:40:59.626
6,convert_to_training_input,0.33,2026-09-03 19:40:59.626000,2026-09-03 19:40:59.959
6,fwd_logprobs_values_reward,594.74,2026-09-03 19:40:59.959000,2026-09-03 19:50:54.695
6,compute_advantages_and_returns,0.05,2026-09-03 19:50:54.695000,2026-09-03 19:50:54.741
6,policy_train,1870.22,2026-09-03 19:50:54.741000,2026-09-03 20:22:04.962
6,train_critic_and_policy,1870.57,2026-09-03 19:50:54.741000,2026-09-03 20:22:05.309
6,cleanup_old_checkpoints,0.02,2026-09-03 20:23:00.077000,2026-09-03 20:23:00.093
6,save_checkpoints,55.27,2026-09-03 20:22:05.310000,2026-09-03 20:23:00.583
6,sync_weights,4.14,2026-09-03 20:23:00.583000,2026-09-03 20:23:04.728
6,step,5379.34,2026-09-03 18:53:25.386000,2026-09-03 20:23:04.728
6,log_eval_results,0.0,2026-09-03 20:39:31.969000,2026-09-03 20:39:31.970
6,dump_eval_results,0.27,2026-09-03 20:39:32.093000,2026-09-03 20:39:32.368
6,eval,987.65,2026-09-03 20:23:04.732000,2026-09-03 20:39:32.386
7,generate,1861.39,2026-09-03 20:39:55.575000,2026-09-03 21:10:56.967
7,postprocess_generator_output,0.23,2026-09-03 21:10:57.238000,2026-09-03 21:10:57.471
7,log_train_results,0.0,2026-09-03 21:10:57.486000,2026-09-03 21:10:57.486
7,convert_to_training_input,0.31,2026-09-03 21:10:57.486000,2026-09-03 21:10:57.800
7,fwd_logprobs_values_reward,259.78,2026-09-03 21:10:57.800000,2026-09-03 21:15:17.583
7,compute_advantages_and_returns,0.04,2026-09-03 21:15:17.583000,2026-09-03 21:15:17.627
7,policy_train,851.18,2026-09-03 21:15:17.627000,2026-09-03 21:29:28.804
7,train_critic_and_policy,851.51,2026-09-03 21:15:17.627000,2026-09-03 21:29:29.136
7,sync_weights,2.81,2026-09-03 21:29:29.136000,2026-09-03 21:29:31.942
7,step,2976.37,2026-09-03 20:39:55.571000,2026-09-03 21:29:31.942
8,generate,1540.69,2026-09-03 21:29:32.036000,2026-09-03 21:55:12.731
8,postprocess_generator_output,0.21,2026-09-03 21:55:13.001000,2026-09-03 21:55:13.211
8,log_train_results,0.0,2026-09-03 21:55:13.218000,2026-09-03 21:55:13.219
8,convert_to_training_input,1.88,2026-09-03 21:55:13.219000,2026-09-03 21:55:15.102
8,fwd_logprobs_values_reward,271.96,2026-09-03 21:55:15.102000,2026-09-03 21:59:47.060
8,compute_advantages_and_returns,0.05,2026-09-03 21:59:47.061000,2026-09-03 21:59:47.114
8,policy_train,871.0,2026-09-03 21:59:47.114000,2026-09-03 22:14:18.111
8,train_critic_and_policy,871.36,2026-09-03 21:59:47.114000,2026-09-03 22:14:18.479
8,cleanup_old_checkpoints,0.01,2026-09-03 22:15:20.666000,2026-09-03 22:15:20.679
8,save_checkpoints,63.28,2026-09-03 22:14:18.479000,2026-09-03 22:15:21.757
8,sync_weights,2.36,2026-09-03 22:15:21.758000,2026-09-03 22:15:24.120
8,step,2752.09,2026-09-03 21:29:32.035000,2026-09-03 22:15:24.121
8,log_eval_results,0.0,2026-09-03 22:23:55.671000,2026-09-03 22:23:55.671
8,dump_eval_results,0.3,2026-09-03 22:23:55.806000,2026-09-03 22:23:56.101
8,eval,511.99,2026-09-03 22:15:24.135000,2026-09-03 22:23:56.121
