unit_id,CropYield,LeafGreennessIndex,EC_Salinity,do_iron_fertigation,do_potassium_feed,do_ph_acidifier,do_light_controller
0,21.368403148116574,6.353911784022552,38.351460251400106,50.0,50.0,6.2,75.0
1,20.65176004588206,7.6129150764255655,56.63669120546364,50.0,50.0,6.2,75.0
2,22.952476619324194,7.441978931952094,40.96037999954806,50.0,50.0,6.2,75.0
3,22.454277413672408,7.3571497820612795,37.5674134579158,50.0,50.0,6.2,75.0
4,19.33409107214331,7.309644879714593,59.299885394573806,50.0,50.0,6.2,75.0
5,26.35426279033907,7.62660119998781,73.83381143578534,50.0,50.0,6.2,75.0
6,19.095806146798562,7.3268235368167405,41.90983818539546,50.0,50.0,6.2,75.0
7,21.91369135701031,8.13894507078766,42.42135662194796,50.0,50.0,6.2,75.0
8,22.87776445591107,7.639607625612255,48.1083199380942,50.0,50.0,6.2,75.0
9,17.94035825119913,7.6786180343833355,52.648687907141564,50.0,50.0,6.2,75.0
10,20.86833644818898,7.344267769300601,65.32843045852056,50.0,50.0,6.2,75.0
11,26.888076245055963,7.376824602043829,37.97878000757277,50.0,50.0,6.2,75.0
12,18.575117244642037,8.25496855151,33.54621804391501,50.0,50.0,6.2,75.0
13,23.006223275408725,7.924443138413244,50.355433557562755,50.0,50.0,6.2,75.0
14,17.745038596432174,7.349844112601923,46.28181008817979,50.0,50.0,6.2,75.0
15,19.24851645077935,7.086663719526485,54.870731467992755,50.0,50.0,6.2,75.0
16,21.864842506862043,7.379873417298768,40.53970232339368,50.0,50.0,6.2,75.0
17,16.941595416287136,7.22370658162118,37.489734579472625,50.0,50.0,6.2,75.0
18,19.07124773329535,8.143891393817889,42.15727122116401,50.0,50.0,6.2,75.0
19,13.751625180327942,7.238302968501089,19.552938925607965,50.0,50.0,6.2,75.0
20,21.80791879086412,7.23244124687285,48.4497693852634,50.0,50.0,6.2,75.0
21,22.172709140017375,7.875538229107939,46.035006393894385,50.0,50.0,6.2,75.0
22,18.065252732293462,7.1868602532099155,51.92350060212942,50.0,50.0,6.2,75.0
23,21.742741612200096,8.537765750517806,44.05532341114157,50.0,50.0,6.2,75.0
24,22.04541776872061,8.106092024811776,62.20024823707542,50.0,50.0,6.2,75.0
25,19.32660859557374,8.217113870671486,45.93163702133223,50.0,50.0,6.2,75.0
26,14.59299974995104,6.8966225006104125,63.88790782025989,50.0,50.0,6.2,75.0
27,20.422625918849864,8.83421128675402,41.66524402884906,50.0,50.0,6.2,75.0
28,18.812378766546576,7.6245807190410515,48.320608405846706,50.0,50.0,6.2,75.0
29,24.906230867662064,7.802538588550311,36.93348820578882,50.0,50.0,6.2,75.0
30,18.216776608256637,7.300331251724948,57.730502343376024,50.0,50.0,6.2,75.0
31,21.50401034962716,6.909709856716174,58.59794591566053,50.0,50.0,6.2,75.0
32,17.698737447084618,8.304682325307263,53.92383914939679,50.0,50.0,6.2,75.0
33,14.475676392354673,7.72193884590311,55.55709242862196,50.0,50.0,6.2,75.0
34,17.588237470875473,7.242689687793393,57.59266434486491,50.0,50.0,6.2,75.0
35,16.89127953087462,7.875047748991526,71.76132685487089,50.0,50.0,6.2,75.0
36,15.106592320711805,7.182707892815234,77.02747661190293,50.0,50.0,6.2,75.0
37,19.53482396147157,6.893298636834846,69.3592001864354,50.0,50.0,6.2,75.0
38,19.326585963423856,7.421926561254521,50.97323631359683,50.0,50.0,6.2,75.0
39,17.62727832773362,7.463751836139406,58.466247334422,50.0,50.0,6.2,75.0
40,16.746847897444688,7.805372030229243,63.44839703775844,50.0,50.0,6.2,75.0
41,17.797069338928424,7.225176021004532,57.94351654337739,50.0,50.0,6.2,75.0
42,14.308809885950735,7.03946309791089,59.56415736095166,50.0,50.0,6.2,75.0
43,21.61581814621147,7.066830749557704,65.5044903215823,50.0,50.0,6.2,75.0
44,24.069943577670195,7.747605980475037,60.22025982455387,50.0,50.0,6.2,75.0
45,20.81153623865815,7.733314793246941,49.82421714048612,50.0,50.0,6.2,75.0
46,21.05553178009548,7.488464726971976,27.03928622764168,50.0,50.0,6.2,75.0
47,18.44366404476487,7.503226344439517,62.945783296304846,50.0,50.0,6.2,75.0
48,16.93189208566931,7.307294234812747,58.27374889974964,50.0,50.0,6.2,75.0
49,18.503058844374145,8.236713078558568,63.56953927340702,50.0,50.0,6.2,75.0
50,18.960604742537,8.106881124040132,43.324955380735815,50.0,50.0,6.2,75.0
51,20.13990728091056,7.453986529852712,49.256294000058936,50.0,50.0,6.2,75.0
52,19.14087197548465,7.175867818547722,50.44336832175832,50.0,50.0,6.2,75.0
53,21.78340476306091,6.950775295372494,42.380752579589206,50.0,50.0,6.2,75.0
54,21.79117995576055,7.431395638481102,66.4118250484413,50.0,50.0,6.2,75.0
55,15.024472702641953,7.7661099960431095,62.86765221812144,50.0,50.0,6.2,75.0
56,20.8476707588388,7.539562540410903,44.568454478226954,50.0,50.0,6.2,75.0
57,17.251753875759547,7.756327334102666,60.753292703509075,50.0,50.0,6.2,75.0
58,22.030164457042357,7.426280552403003,56.014521931788565,50.0,50.0,6.2,75.0
59,16.038703528200706,7.343301627699169,51.843492083852446,50.0,50.0,6.2,75.0
60,22.37188714388615,7.6131085128969325,57.250973422739186,50.0,50.0,6.2,75.0
61,19.710482814251822,7.120492165603174,45.29856097625235,50.0,50.0,6.2,75.0
62,20.412977217190296,7.395386616344625,26.27461314695365,50.0,50.0,6.2,75.0
63,20.862936590134396,8.386005618520876,66.87368194565344,50.0,50.0,6.2,75.0
64,19.92165969992496,8.573330839998798,68.05273894341032,50.0,50.0,6.2,75.0
65,20.296112831816632,7.66441362331794,48.88609614616037,50.0,50.0,6.2,75.0
66,16.154642939198567,6.998024726420252,51.38787092126386,50.0,50.0,6.2,75.0
67,20.606258554233833,8.370172071496222,42.583707808270724,50.0,50.0,6.2,75.0
68,16.669344299949472,7.899383362703364,36.59125914529366,50.0,50.0,6.2,75.0
69,22.206984810919668,7.64739196911686,50.146840699783525,50.0,50.0,6.2,75.0
70,17.93604188391378,7.300814296326209,63.16207210256935,50.0,50.0,6.2,75.0
71,18.76628275501776,7.904824499037933,83.56570666493207,50.0,50.0,6.2,75.0
72,19.75243081592192,7.939400891476446,57.39719198633513,50.0,50.0,6.2,75.0
73,22.254524648726132,7.626409615283256,37.69796052066795,50.0,50.0,6.2,75.0
74,22.683247297741087,7.8417506742063425,40.46046855565731,50.0,50.0,6.2,75.0
75,22.079991898512155,7.457566753793478,55.796125431935884,50.0,50.0,6.2,75.0
76,22.214896962420365,6.7684525646971485,47.453632323367,50.0,50.0,6.2,75.0
77,21.905662337431306,7.234550960043758,49.121581381390385,50.0,50.0,6.2,75.0
78,14.322668833366466,8.047144734453088,61.26390418536591,50.0,50.0,6.2,75.0
79,20.42803006552807,7.00505925430174,55.1459641218046,50.0,50.0,6.2,75.0
80,16.149160597880208,6.828119602193386,19.180554278531467,50.0,50.0,6.2,75.0
81,16.732932213248656,6.8847633848265115,56.684386262018016,50.0,50.0,6.2,75.0
82,16.00004068750972,7.6574716473189115,52.429586093200975,50.0,50.0,6.2,75.0
83,23.04590710049151,7.394258210470209,60.31105366648052,50.0,50.0,6.2,75.0
84,18.674772986500347,7.558037078288982,66.38230615863765,50.0,50.0,6.2,75.0
85,22.149099100077564,7.520295775804469,45.849916288075114,50.0,50.0,6.2,75.0
86,20.542803125732174,7.815023070445627,29.09198673217752,50.0,50.0,6.2,75.0
87,23.75599737924391,7.426216703628494,74.67570896627831,50.0,50.0,6.2,75.0
88,17.039436526566355,7.021941827886761,67.41279392996586,50.0,50.0,6.2,75.0
89,22.460372320834924,7.290588374329647,29.641609726953888,50.0,50.0,6.2,75.0
90,10.481288763742288,7.319023473505188,50.067631002468794,50.0,50.0,6.2,75.0
91,16.42343379967021,6.670160590575183,71.51195211342119,50.0,50.0,6.2,75.0
92,22.829529340105253,7.365208188370108,58.99604806564454,50.0,50.0,6.2,75.0
93,12.50696051076487,6.902351924185131,59.68963939157936,50.0,50.0,6.2,75.0
94,28.827934329586263,7.866089375042539,55.301673113473285,50.0,50.0,6.2,75.0
95,20.638378371320496,7.924227727676349,58.306808811545125,50.0,50.0,6.2,75.0
96,20.661273518618078,8.064773140193248,45.68477795700301,50.0,50.0,6.2,75.0
97,22.739290467374815,7.358836939510692,37.53362332437108,50.0,50.0,6.2,75.0
98,21.432866053415687,7.388900174132758,43.198808848711224,50.0,50.0,6.2,75.0
99,27.454016067586736,7.886112614303355,61.25432269674376,50.0,50.0,6.2,75.0
100,21.89599508716702,7.635118173412305,63.73151424029773,50.0,50.0,6.2,75.0
101,16.02744858782728,7.348893828442045,50.89668903121894,50.0,50.0,6.2,75.0
102,23.50662489873179,7.320785907161813,59.21901235718259,50.0,50.0,6.2,75.0
103,21.427005717582045,8.226192665671153,32.92098362933167,50.0,50.0,6.2,75.0
104,18.70415633305726,7.526409124808602,43.281397913241044,50.0,50.0,6.2,75.0
105,19.178429392270147,8.154293780534477,51.773092167487,50.0,50.0,6.2,75.0
106,18.25660783113181,7.1391666930721875,51.028138745586205,50.0,50.0,6.2,75.0
107,24.018367250107133,7.865129096277633,64.221802643314,50.0,50.0,6.2,75.0
108,21.125710738417094,7.535384767391761,53.623653511742454,50.0,50.0,6.2,75.0
109,23.735544215830984,7.081524076428804,56.758013492957616,50.0,50.0,6.2,75.0
110,21.3578647802254,7.031530476984699,54.00904340886546,50.0,50.0,6.2,75.0
111,20.54003686311952,7.377367536285563,40.71025531030715,50.0,50.0,6.2,75.0
112,23.29301369513123,7.58184707946749,68.27432516468681,50.0,50.0,6.2,75.0
113,22.369080068134704,7.810726268175775,65.14592386133637,50.0,50.0,6.2,75.0
114,24.796588127252573,7.200281805808862,43.505253087638074,50.0,50.0,6.2,75.0
115,17.96346524859239,7.114127331981234,46.66935849806873,50.0,50.0,6.2,75.0
116,23.532140145890377,7.560484980480885,44.68025794186211,50.0,50.0,6.2,75.0
117,22.147294661408605,7.756307650751481,25.164872830317414,50.0,50.0,6.2,75.0
118,22.98252606241904,7.122688821800934,55.392468661220654,50.0,50.0,6.2,75.0
119,18.486768238886373,7.270988146087348,59.05692007226403,50.0,50.0,6.2,75.0
120,13.394344376383097,7.795861583703358,63.17123629297854,50.0,50.0,6.2,75.0
121,19.630068013345497,7.462794817001478,64.155671830966,50.0,50.0,6.2,75.0
122,20.13089224220149,7.942791131265118,54.07963413437714,50.0,50.0,6.2,75.0
123,20.150235089493655,8.561867878345401,35.20215809413493,50.0,50.0,6.2,75.0
124,18.097367383139062,7.093940113294034,51.91887356436606,50.0,50.0,6.2,75.0
125,27.80016542477256,7.556647491323272,50.30025226667178,50.0,50.0,6.2,75.0
126,25.74892352339158,7.731423735214662,60.21146874741767,50.0,50.0,6.2,75.0
127,27.938465167287447,7.711151623841868,53.40164361313539,50.0,50.0,6.2,75.0
128,20.71043654899143,8.439731739820953,45.15055482716467,50.0,50.0,6.2,75.0
129,25.65604530279965,8.425860929024871,51.98586663498464,50.0,50.0,6.2,75.0
130,26.51813145462865,8.300377028843661,51.265615285282855,50.0,50.0,6.2,75.0
131,20.14122260368116,7.2026220256182345,41.78328740825645,50.0,50.0,6.2,75.0
132,21.428367040217886,8.338987716424253,28.404912223564992,50.0,50.0,6.2,75.0
133,18.7212921005464,7.452973610135523,51.809265280321014,50.0,50.0,6.2,75.0
134,18.714613745470707,7.3606345460388996,59.67351866917548,50.0,50.0,6.2,75.0
135,26.167859444611405,8.863990783927115,42.67568229210302,50.0,50.0,6.2,75.0
136,18.148055224099895,7.569779643403587,46.267749994148524,50.0,50.0,6.2,75.0
137,21.457680131547402,7.283903725057994,59.273649895997266,50.0,50.0,6.2,75.0
138,22.523452069416532,7.892495690235164,56.26360604459453,50.0,50.0,6.2,75.0
139,20.620972150131475,7.51012125436972,69.53464322220246,50.0,50.0,6.2,75.0
140,19.031937923260728,7.863019200295755,43.893268618712014,50.0,50.0,6.2,75.0
141,21.381025441181556,7.487365354918912,42.638998072822154,50.0,50.0,6.2,75.0
142,20.302533981155563,8.3833623872222,35.174968358446336,50.0,50.0,6.2,75.0
143,19.249773029063377,7.269871301684618,31.34216899278092,50.0,50.0,6.2,75.0
144,19.655802639602392,6.65632709444971,62.951227891356446,50.0,50.0,6.2,75.0
145,19.182926425902757,8.50423626594574,53.680893616139336,50.0,50.0,6.2,75.0
146,17.737909800555727,7.472220398511879,39.21781929627886,50.0,50.0,6.2,75.0
147,16.39976299312412,7.799617429362646,51.638318444928736,50.0,50.0,6.2,75.0
148,25.123777337800682,8.072767062338416,70.84161512177592,50.0,50.0,6.2,75.0
149,17.29272688789961,6.956905155459468,58.643780762599505,50.0,50.0,6.2,75.0
150,16.992789917030912,7.848353019835177,46.56119112381864,50.0,50.0,6.2,75.0
151,18.22337754828141,7.546876997271166,53.22153416302926,50.0,50.0,6.2,75.0
152,21.31962290475991,6.925889640003613,58.37060880070091,50.0,50.0,6.2,75.0
153,22.479089140536953,7.788550957489217,66.74312133963456,50.0,50.0,6.2,75.0
154,24.493706512809226,7.5748614171660655,42.07350305636192,50.0,50.0,6.2,75.0
155,10.883483549320013,7.4521576631633355,52.600247049317844,50.0,50.0,6.2,75.0
156,18.398306513369185,7.446366291427538,75.71833573636633,50.0,50.0,6.2,75.0
157,24.677106254016675,6.972936588557854,38.094192803047875,50.0,50.0,6.2,75.0
158,20.81405632029078,7.417888267782309,48.98842605442542,50.0,50.0,6.2,75.0
159,21.65756258676359,7.803721935780916,52.530836834904925,50.0,50.0,6.2,75.0
160,19.28465395524401,8.177776107854019,57.01027620234028,50.0,50.0,6.2,75.0
161,20.638957008768124,8.16769359876987,63.17435675078563,50.0,50.0,6.2,75.0
162,26.54585832015737,7.172152641962786,58.96720497846252,50.0,50.0,6.2,75.0
163,24.097839432185182,7.652984889657949,42.49794390655341,50.0,50.0,6.2,75.0
164,16.07160185671595,7.9444872402520526,48.11062585499087,50.0,50.0,6.2,75.0
165,26.119465383732667,8.11075116891866,62.407191816965465,50.0,50.0,6.2,75.0
166,24.07503444424814,7.379946708361497,61.71830344284882,50.0,50.0,6.2,75.0
167,21.133545047115703,8.209128167463993,56.495693972997515,50.0,50.0,6.2,75.0
168,20.375854199359267,8.445441158287638,56.891174759022654,50.0,50.0,6.2,75.0
169,22.626976791536258,7.03652981580338,57.5742687523132,50.0,50.0,6.2,75.0
170,13.319556820391949,8.17224624192342,63.01821154327141,50.0,50.0,6.2,75.0
171,16.43747902015082,6.74961860111591,29.275953084347034,50.0,50.0,6.2,75.0
172,16.1369539196657,8.047510996194177,42.96664772916033,50.0,50.0,6.2,75.0
173,24.151710090102736,7.504887608259399,32.66930448373726,50.0,50.0,6.2,75.0
174,15.899173427340184,7.429037511492041,46.26437657580976,50.0,50.0,6.2,75.0
175,19.933791101774926,7.189914238591619,25.798476735397234,50.0,50.0,6.2,75.0
176,15.486516275858644,6.4121561573077255,61.995397717263415,50.0,50.0,6.2,75.0
177,15.827045828033857,7.713122384217263,42.966616656305646,50.0,50.0,6.2,75.0
178,18.650600461827175,6.722417581795696,61.284723360115606,50.0,50.0,6.2,75.0
179,21.951773485843,7.382957732868762,47.870631438370246,50.0,50.0,6.2,75.0
180,17.03613134243929,7.335087634349411,50.1580351184509,50.0,50.0,6.2,75.0
181,20.10096521341315,7.55294226702495,48.07881603177745,50.0,50.0,6.2,75.0
182,25.55358888660107,7.897659202055566,63.418598152925945,50.0,50.0,6.2,75.0
183,15.928750725218153,7.029717233658623,43.45280002101243,50.0,50.0,6.2,75.0
184,23.218371199904524,7.646308890341723,57.87562545680333,50.0,50.0,6.2,75.0
185,17.095733868464247,7.503410161168409,59.87743926178092,50.0,50.0,6.2,75.0
186,21.31067257840934,6.972126763702096,47.42397216206987,50.0,50.0,6.2,75.0
187,18.46228265531523,7.466329957868733,47.94198832860503,50.0,50.0,6.2,75.0
188,18.860629933075952,6.626514226950568,60.94809346838955,50.0,50.0,6.2,75.0
189,14.95279971096026,7.206625616383649,55.8180536753165,50.0,50.0,6.2,75.0
190,18.547721422866672,8.617451210411772,37.51272823759907,50.0,50.0,6.2,75.0
191,16.79940065033341,7.994424403402466,55.46237710224073,50.0,50.0,6.2,75.0
192,19.614926777555123,8.08506675380162,39.42049135565466,50.0,50.0,6.2,75.0
193,20.07140846575858,7.786410241917193,57.32880348170964,50.0,50.0,6.2,75.0
194,18.82279033454857,7.752296766577994,39.53899674171102,50.0,50.0,6.2,75.0
195,18.0659384412426,6.598420132632723,58.46778847054535,50.0,50.0,6.2,75.0
196,18.039837296008425,7.551332211523255,50.057270564347434,50.0,50.0,6.2,75.0
197,18.508308841742643,7.4848341372927445,41.62709800886127,50.0,50.0,6.2,75.0
198,20.727413444482295,7.862105505374782,51.26929654530232,50.0,50.0,6.2,75.0
199,16.152049261488582,7.360639171601844,26.28853474005989,50.0,50.0,6.2,75.0
200,19.79508310849021,8.492177911434927,41.02057032802356,50.0,50.0,6.2,75.0
